Series Name,Country Name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Unemployment, female (% of female labor force) (national estimate)","Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.200000048,..,..,..,..,..,..,3.619999886,..,..,..,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)","Congo, Dem. Rep.",..,3.410000086,3.400000095,3.5,3.539999962,3.549999952,3.50999999,3.450000048,3.420000076,3.569999933,3.559999943,3.549999952,3.589999914,3.569999933,3.549999952,3.5,3.650000095,3.799999952,4.010000229,4.429999828,4.710000038,5.019999981,5.309999943,5.309999943,5.210000038,5.190000057,5.170000076,5.090000153,5.010000229,4.960000038
"Unemployment, male (% of male labor force) (national estimate)","Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.50999999,..,..,..,..,..,..,5.320000172,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)","Congo, Dem. Rep.",..,2.789999962,2.829999924,2.890000105,2.910000086,2.910000086,2.910000086,2.900000095,2.900000095,2.930000067,2.910000086,2.900000095,2.920000076,2.920000076,2.890000105,2.849999905,2.980000019,3.109999895,3.289999962,3.700000048,3.980000019,4.21999979,4.489999771,4.489999771,4.440000057,4.400000095,4.349999905,4.260000229,4.179999828,4.130000114
"Unemployment, total (% of total labor force) (national estimate)","Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.849999905,..,..,..,..,..,..,4.489999771,..,..,..,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)","Congo, Dem. Rep.",..,3.559999943,3.660000086,3.710000038,3.700000048,3.690000057,3.75999999,3.799999952,3.819999933,3.710000038,3.680000067,3.650000095,3.670000076,3.690000057,3.630000114,3.569999933,3.799999952,4.039999962,4.360000134,5.079999924,5.599999905,6,6.510000229,6.519999981,6.489999771,6.400000095,6.260000229,6.099999905,5.96999979,5.880000114
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)","Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.609999895,..,..,..,..,..,..,6.760000229,..,..,..,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)","Congo, Dem. Rep.",..,5.909999847,5.880000114,6.010000229,6.110000134,6.190000057,6.130000114,6,5.96999979,6.199999809,6.159999847,6.150000095,6.25,6.239999771,6.21999979,6.139999866,6.519999981,6.949999809,7.480000019,8.380000114,9.100000381,9.899999619,10.67000008,10.68000031,10.5,10.43999958,10.35999966,10.18999958,10.06999969,9.979999542
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)","Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.320000172,..,..,..,..,..,..,11.30000019,..,..,..,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","Congo, Dem. Rep.",..,4.599999905,4.639999866,4.730000019,4.769999981,4.800000191,4.809999943,4.78000021,4.769999981,4.820000172,4.78000021,4.760000229,4.820000172,4.829999924,4.78000021,4.71999979,5.019999981,5.349999905,5.760000229,6.579999924,7.190000057,7.78000021,8.420000076,8.430000305,8.329999924,8.25,8.140000343,7.96999979,7.849999905,7.75
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)","Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.760000229,..,..,..,..,..,..,8.680000305,..,..,..,..,..,..,..
Access to electricity (% of population),Djibouti,..,..,..,..,..,..,62,56.31235886,56.34375,56.37426376,56.39942932,56.41478348,49.7,56.39816284,56.35725021,56.2913208,55.5,56.12272263,56.04322052,55.98236084,55.95172882,55.9629097,54.6,56.12973404,56.41976547,57.5311203,58.69424057,60.2,60.39544678,..
"Children in employment, total (% of children ages 7-14)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary",Djibouti,68605,70241,69774,72923,73558,74769,77662,81979,..,85856,85747,81708,79398,..,74786,73323,70269,64895,49807,49230,..,37863,..,37538,29421,35253,37933,35576,33948,30090
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Djibouti,..,41.15999985,41.06000137,41.09999847,40.97999954,40.93999863,40.95000076,40.86999893,40.72999954,40.38999939,40.08000183,39.59999847,38.97000122,38.31000137,37.65000153,36.93999863,36.09999847,35.22999954,34.29999924,33.63999939,32.81999969,31.82999992,30.98999977,30.14999962,29.19000053,28.20999908,27.29000092,26.45000076,25.46999931,24.54999924
Employment in industry (% of total employment) (modeled ILO estimate),Djibouti,..,16.25,16.04000092,15.81000042,15.56000042,15.31000042,15.06000042,14.81000042,14.56999969,14.32999992,14.10999966,13.90999985,13.72999954,13.57999992,13.43999958,13.34000015,13.27000046,13.21000004,13.15999985,13.14000034,13.13000011,13.13000011,13.14999962,13.18000031,13.25,13.30000019,13.35000038,13.39999962,13.42000008,13.43999958
Employment in services (% of total employment) (modeled ILO estimate),Djibouti,..,42.59000015,42.90999985,43.09000015,43.47000122,43.75,43.99000168,44.31999969,44.70999908,45.27999878,45.81000137,46.49000168,47.29999924,48.11000061,48.90999985,49.72000122,50.63999939,51.56999969,52.54000092,53.22000122,54.04999924,55.04000092,55.86000061,56.66999817,57.56000137,58.5,59.36000061,60.15000153,61.11000061,62
GDP growth (annual %),Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.061543242,7.696085576,6.652650372,5.403099843,8.407662666,..
Informal employment (% of total non-agricultural employment),Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, youth total (% of people ages 15-24)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Lower secondary completion rate, total (% of relevant age group)",Djibouti,..,..,8.694410324,7.489840031,..,..,10.37343979,11.18943977,..,13.94686985,14.45806026,..,17.27112961,..,..,19.01390076,20.6119194,21.58385086,22.59572983,32.05598068,..,50.18487167,47.7949295,43.07794189,42.23041916,44.57154846,43.27186966,47.11611938,49.22512054,49.93653107
"Over-age students, primary (% of enrollment)",Djibouti,18.2134,16.80754,16.32131,15.195,16.70353,16.00902,15.7469,17.3054,..,17.22522,16.15302,17.97745,18.2735,..,16.97493,12.31368,13.7464,13.12404,17.31714,17.31718,..,11.74252,..,..,13.06301,13.30791,15.9226,13.77615,11.90556,11.28513
"Share of youth not in education, employment or training, total (% of youth population)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.31999969,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Djibouti,..,11.35000038,11.55000019,11.47999954,11.67000008,11.56000042,11.57999992,11.64999962,11.71000004,11.84000015,11.75,11.72999954,11.85999966,11.89000034,11.81000042,11.72999954,11.65999985,11.53999996,11.51000023,11.71000004,11.76000023,11.85999966,11.81000042,12.14999962,11.67000008,11.60000038,11.69999981,11.5,11.19999981,11.26000023
"Unemployment, female (% of female labor force) (national estimate)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.90000153,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Djibouti,..,11.39000034,11.42000008,11.68999958,11.64999962,11.71000004,11.69999981,11.64000034,11.60000038,11.60999966,11.60999966,11.56999969,11.57999992,11.56000042,11.48999977,11.39000034,11.13000011,10.93999958,10.85000038,11.30000019,11.36999989,11.28999996,11.34000015,11.14000034,11.31000042,11.25,11.06000042,10.97000027,10.96000004,10.77000046
"Unemployment, male (% of male labor force) (national estimate)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.06999969,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Djibouti,..,11.38000011,11.47000027,11.60999966,11.65999985,11.64999962,11.65999985,11.64000034,11.64000034,11.69999981,11.65999985,11.63000011,11.68999958,11.68999958,11.61999989,11.52000046,11.34000015,11.17000008,11.10000038,11.46000004,11.52000046,11.51000023,11.52000046,11.53999996,11.44999981,11.39000034,11.31000042,11.18000031,11.06000042,10.97000027
"Unemployment, total (% of total labor force) (national estimate)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26.05999947,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Djibouti,..,17.03000069,17.34000015,17.43000031,17.77000046,17.75,17.87999916,18.04999924,18.20999908,18.48999977,18.54000092,18.63999939,18.98999977,19.22999954,19.30999947,19.34000015,19.44000053,19.52000046,19.77000046,20.56999969,21.04000092,21.42000008,21.61000061,22.26000023,21.78000069,21.87000084,22.12000084,21.90999985,21.56999969,21.72999954
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,74.59999847,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Djibouti,..,19.22999954,19.31999969,19.84000015,19.85000038,20.02000046,20.04000092,19.98999977,19.97999954,20.07999992,20.15999985,20.19000053,20.34000015,20.45000076,20.45999908,20.37999916,20.13999939,20,20.04000092,20.98999977,21.36000061,21.44000053,21.64999962,21.43000031,21.87000084,21.93000031,21.68000031,21.59000015,21.65999985,21.44000053
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,72.01000214,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Djibouti,..,18.23999977,18.42000008,18.73999977,18.89999962,18.97999954,19.04999924,19.10000038,19.17000008,19.35000038,19.42000008,19.46999931,19.70999908,19.87999916,19.92000008,19.88999939,19.80999947,19.78000069,19.92000008,20.79000092,21.20999908,21.43000031,21.62999916,21.80999947,21.82999992,21.89999962,21.87999916,21.73999977,21.62000084,21.56999969
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Djibouti,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,73.04000092,..,..
Access to electricity (% of population),Eritrea,..,..,..,..,..,22.9,24.71693993,25.84407425,26.97395706,28.10296249,29.22662163,30.34046555,32.2,32.52082825,33.5784111,34.61097336,35.62742615,36.63935852,37.65834427,38.69598007,39.76383972,40.87351227,42.03316879,43.23731995,44.47707367,45.74351883,47.02776718,48.32091522,49.61554337,..
"Children in employment, total (% of children ages 7-14)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Children out of school, primary",Eritrea,..,..,229106,..,231606,233515,231358,229638,..,199867,171852,160101,126612,95191,72678,53201,46765,66304,80594,99124,117798,114587,113594,144901,162329,186394,..,238210,241988,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Eritrea,..,71.81999969,71.40000153,70.88999939,70.26999664,69.83999634,69.23000336,68.62000275,68.25,68,67.97000122,67.52999878,67.44999695,67.76000214,67.83000183,67.79000092,67.86000061,67.72000122,68.05999756,67.68000031,67.30999756,66.54000092,66.09999847,66.33999634,64.94000244,65.48000336,64.66000366,64.88999939,63.75999832,63.11999893
Employment in industry (% of total employment) (modeled ILO estimate),Eritrea,..,8.489999771,8.579999924,8.710000038,8.840000153,9,9.140000343,9.279999733,9.329999924,9.359999657,9.359999657,9.279999733,9.170000076,8.970000267,8.789999962,8.569999695,8.380000114,8.210000038,8.090000153,7.940000057,7.849999905,7.78000021,7.699999809,7.619999886,7.579999924,7.489999771,7.429999828,7.349999905,7.320000172,7.289999962
Employment in services (% of total employment) (modeled ILO estimate),Eritrea,..,19.69000053,20.02000046,20.39999962,20.88999939,21.17000008,21.62999916,22.10000038,22.42000008,22.63999939,22.67000008,23.19000053,23.37999916,23.27000046,23.38999939,23.63999939,23.77000046,24.06999969,23.85000038,24.37999916,24.84000015,25.68000031,26.20000076,26.04000092,27.47999954,27.03000069,27.90999985,27.75,28.92000008,29.59000015
GDP growth (annual %),Eritrea,..,..,..,13.45476252,21.22141136,2.858379037,9.258838371,7.908684909,1.772582792,0.01348024103,-3.141985774,8.75543519,3.005429218,-2.655515842,1.451735534,2.57444953,-0.9692169291,1.42682206,-9.783030037,3.87650156,2.194190545,8.679799936,..,..,..,..,..,..,..,..
Informal employment (% of total non-agricultural employment),Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,52.51395035,..,..,..,..,..,64.6629715,..,..,..,..,..,..,..,..,..,76.57051849,..
"Literacy rate, youth total (% of people ages 15-24)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,77.94528961,..,..,..,..,..,86.97490692,..,..,..,..,..,..,..,..,..,93.27239227,..
"Lower secondary completion rate, total (% of relevant age group)",Eritrea,..,..,..,..,19.30336952,23.70552063,26.1089592,25.06254959,..,37.23603058,37.32304001,35.40198898,39.91184998,37.2585907,39.03781891,..,43.62208939,46.80738068,48.74066925,55.13906097,58.27893066,..,..,..,..,52.41188812,..,47.20719147,51.16453934,..
"Over-age students, primary (% of enrollment)",Eritrea,..,..,35.81693,..,44.39374,45.16356,44.40418,42.62951,..,34.95074,31.97462,27.82173,26.17462,25.60681,24.50526,22.56273,21.20254,19.12191,19.07819,18.17385,15.71948,13.4761,11.66749,30.10661,20.58357,21.33133,..,24.34663,24.69057,..
"Share of youth not in education, employment or training, total (% of youth population)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Eritrea,..,6.909999847,6.940000057,7.429999828,7.340000153,7.510000229,7.519999981,7.440000057,7.619999886,7.889999866,7.639999866,7.699999809,7.539999962,7.599999905,7.429999828,7.349999905,7,6.869999886,6.869999886,7.090000153,7.110000134,7.010000229,6.96999979,7.039999962,6.929999828,6.829999924,6.820000172,6.679999828,6.590000153,6.460000038
"Unemployment, female (% of female labor force) (national estimate)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Eritrea,..,6.440000057,6.539999962,6.349999905,6.489999771,6.349999905,6.340000153,6.380000114,6.230000019,6.090000153,6.230000019,6.130000114,6.340000153,6.28000021,6.320000172,6.239999771,6.28000021,6.159999847,6.059999943,6.380000114,6.460000038,6.539999962,6.590000153,6.550000191,6.519999981,6.519999981,6.420000076,6.349999905,6.25,6.239999771
"Unemployment, male (% of male labor force) (national estimate)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",Eritrea,..,6.650000095,6.71999979,6.829999924,6.869999886,6.869999886,6.869999886,6.860000134,6.860000134,6.900000095,6.869999886,6.849999905,6.889999866,6.889999866,6.840000153,6.760000229,6.619999886,6.5,6.440000057,6.71999979,6.760000229,6.760000229,6.769999981,6.78000021,6.710000038,6.659999847,6.599999905,6.5,6.409999847,6.340000153
"Unemployment, total (% of total labor force) (national estimate)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, youth female (% of female labor force ages 15-24) (modeled ILO estimate)",Eritrea,..,11.27999973,11.35999966,12.01000023,11.81999969,11.89000034,11.78999996,11.61999989,11.77999973,12.05000019,11.64999962,11.69999981,11.56000042,11.68000031,11.52000046,11.52999973,11.10000038,10.93000031,10.98999977,11.42000008,11.57999992,11.52999973,11.57999992,11.72000027,11.59000015,11.52000046,11.48999977,11.35999966,11.19999981,11.06000042
"Unemployment, youth female (% of female labor force ages 15-24) (national estimate)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, youth male (% of male labor force ages 15-24) (modeled ILO estimate)",Eritrea,..,10.89999962,11.10000038,10.84000015,10.98999977,10.63000011,10.5,10.48999977,10.15999985,9.859999657,9.930000305,9.779999733,10.05000019,9.949999809,10.06000042,10.05000019,10.13000011,10.01000023,9.909999847,10.52000046,10.75,10.94999981,11.05000019,11.02999973,11.09000015,11.07999992,10.97000027,10.88000011,10.80000019,10.77000046
"Unemployment, youth male (% of male labor force ages 15-24) (national estimate)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)",Eritrea,..,11.07999992,11.22000027,11.38000011,11.36999989,11.22000027,11.10000038,11.02000046,10.92000008,10.88000011,10.72999954,10.67000008,10.75,10.76000023,10.73999977,10.73999977,10.57999992,10.43999958,10.42000008,10.93999958,11.14000034,11.22000027,11.30000019,11.35000038,11.31999969,11.27999973,11.21000004,11.10000038,10.98999977,10.89999962
"Unemployment, youth total (% of total labor force ages 15-24) (national estimate)",Eritrea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Access to electricity (% of population),Eswatini,..,..,..,..,..,..,..,..,..,..,..,26.9,25.78907967,28.66159439,31.51088715,34.33516312,35.2,39.94696808,42.75766754,38.6,45.55233761,51.68509293,55.29926682,58.67296219,65,65.81354523,69.5853653,73.5,76.50398254,..
"Children in employment, total (% of children ages 7-14)",Eswatini,..,..,..,..,..,..,..,..,..,..,11.2,..,..,..,..,..,..,..,..,..,13.3,..,..,..,..,..,..,..,..,..
"Children out of school, primary",Eswatini,50112,50933,49413,50588,46978,41251,42342,..,..,..,..,..,..,..,..,..,..,..,..,34556,23434,13336,22581,30229,29136,31776,31985,35890,33794,..
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Employment in agriculture (% of total employment) (modeled ILO estimate),Eswatini,..,23.43000031,23.27000046,23.05999947,22.87999916,22.59000015,22.32999992,22.03000069,21.73999977,21.39999962,21,20.56999969,20.02000046,19.46999931,18.90999985,18.27000046,17.65999985,17.10000038,16.69000053,16.23999977,15.76000023,15.31999969,14.78999996,14.34000015,13.96000004,13.55000019,13.19999981,12.85999966,12.5,12.14999962
Employment in industry (% of total employment) (modeled ILO estimate),Eswatini,..,29.07999992,29.04000092,29.07999992,28.98999977,28.98999977,28.85000038,28.76000023,28.52000046,28.23999977,28.07999992,27.84000015,27.54999924,27.27000046,27.11000061,26.92000008,26.72999954,26.57999992,26.43000031,26.30999947,26.03000069,25.81999969,25.59000015,25.29000092,25.10000038,24.87000084,24.53000069,24.12000084,23.72999954,23.38999939
Employment in services (% of total employment) (modeled ILO estimate),Eswatini,..,47.49000168,47.68999863,47.86000061,48.13000107,48.43000031,48.83000183,49.20999908,49.74000168,50.36000061,50.91999817,51.59000015,52.43000031,53.25999832,53.99000168,54.81000137,55.61000061,56.31999969,56.88999939,57.45000076,58.20999908,58.86000061,59.61000061,60.38000107,60.95000076,61.58000183,62.27000046,63.02999878,63.77000046,64.45999908
GDP growth (annual %),Eswatini,21.01800054,1.760376349,3.226206881,3.106114157,2.400691039,4.82565155,3.842053638,3.10280535,2.604039401,2.950875211,1.76017376,1.054764906,4.380099088,3.880213586,3.623914226,5.99877655,5.992166838,4.435375577,0.8216639138,1.565048852,3.793754968,2.247229761,5.391309307,3.862271882,0.9131964948,2.203324126,1.100718394,2.026570236,2.371609694,..
Informal employment (% of total non-agricultural employment),Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53.40000153,..,..,..
"Informal employment, female (% of total non-agricultural employment)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,56.88000107,..,..,..
"Literacy rate, adult total (% of people ages 15 and above)",Eswatini,..,..,..,..,..,..,..,..,..,..,81.66069794,..,..,..,..,..,..,..,..,..,83.09828949,..,..,..,..,..,..,..,88.41938019,..
"Literacy rate, youth total (% of people ages 15-24)",Eswatini,..,..,..,..,..,..,..,..,..,..,91.8632431,..,..,..,..,..,..,..,..,..,93.50229645,..,..,..,..,..,..,..,95.46936798,..
"Lower secondary completion rate, total (% of relevant age group)",Eswatini,33.32682037,38.16416168,41.58636856,39.04589844,39.19721985,38.79795074,37.31887054,..,38.43740845,34.17493057,33.75621033,34.70610046,37.42417145,35.35322952,39.33086014,41.70880127,47.18980026,49.53660965,..,49.32017899,52.60692978,51.81689072,51.96464157,55.34272003,53.125,53.1901207,62.66104126,67.44851685,54.04645157,..
"Over-age students, primary (% of enrollment)",Eswatini,19.10438,19.02341,18.8435,20.62586,20.41807,20.50401,21.30173,..,..,..,..,..,..,..,..,..,..,..,..,31.45335,29.50957,28.09057,28.44016,30.46787,29.19101,29.19173,27.64864,28.27236,..,..
"Share of youth not in education, employment or training, total (% of youth population)",Eswatini,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.45999908,..,..,..
"Unemployment, female (% of female labor force) (modeled ILO estimate)",Eswatini,..,22.70999908,22.90999985,23.05999947,23.06999969,23.18000031,24.45999908,25.73999977,26.46999931,27.07999992,27.51000023,28.05999947,29.01000023,29.60000038,30.12999916,30.75,31.07999992,31.31999969,30.11000061,30.01000023,29.45999908,28.54000092,27.97999954,27.14999962,26.07999992,25.35000038,24.45999908,24.31999969,24.17000008,23.96999931
"Unemployment, female (% of female labor force) (national estimate)",Eswatini,..,..,..,..,..,23.20999908,..,26,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.42000008,..,..,..
"Unemployment, male (% of male labor force) (modeled ILO estimate)",Eswatini,..,20.18000031,20.20999908,20.42000008,20.51000023,20.39999962,20.12999916,19.79999924,20.29999924,21.03000069,21.70000076,22.32999992,22.85000038,23.53000069,24.09000015,24.45000076,24.82999992,25.34000015,24.93000031,24.87999916,24.28000069,23.85000038,23.13999939,22.72999954,22.29000092,21.62999916,21.06999969,20.87000084,20.69000053,20.64999962
"Unemployment, male (% of male labor force) (national estimate)",Eswatini,..,..,..,..,..,20.43000031,..,20,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,21.03000069,..,..,..
